input,v30_k_value,v30_negative_density,v30_print_density
0,0,0.08,
8,873,0.11,
16,2320,0.15,
24,3214,0.18,
32,4000,0.2,
40,5096,0.22,
48,5805,0.25,
56,6290,0.26,
60,6719,,
64,7148,0.29,
72,8529,0.33,
80,9442,0.35,
88,10199,0.37,
96,10784,0.42,
104,11510,,
112,12439,0.44,
120,13295,0.47,
128,13845,0.48,
136,14344,0.49,
144,14970,0.52,
152,15675,0.54,
160,16449,0.56,
168,17125,0.58,
176,18181,0.61,
184,18933,0.63,
192,19858,0.67,
200,20619,0.7,
208,22050,0.74,
216,23854,0.79,
224,25853,0.85,
232,29163,0.94,0.91
240,33922,1.09,0.98
248,37439,1.19,1.06
255,38495,1.21,1.19