input,v19 negative_density,v18 negative_density,v7 negative_density
0,0.07,0.07,0.07
8,0.08,0.08,0.08
16,0.11,0.11,0.11
24,0.13,0.13,0.14
32,0.16,0.16,0.17
40,0.19,0.19,0.2
48,0.22,0.22,0.23
56,0.25,0.25,0.25
64,0.28,0.28,0.28
72,0.3,0.3,0.3
80,0.33,0.33,0.33
88,0.36,0.36,0.37
96,0.39,0.39,0.4
104,0.42,0.41,0.44
112,0.44,0.44,0.47
120,0.47,0.46,0.5
128,0.5,0.49,0.53
136,0.55,0.54,0.58
144,0.59,0.57,0.62
152,0.63,0.61,0.66
160,0.67,0.65,0.7
168,0.71,0.69,0.74
176,0.75,0.74,0.78
184,0.79,0.78,0.82
192,0.86,0.82,0.87
200,0.9,0.88,0.92
208,0.94,0.91,0.96
216,0.98,0.95,1
224,1.05,1.02,1.07
232,1.08,1.08,1.12
240,1.17,1.16,1.17
248,1.24,1.22,1.21
255,1.29,,1.69